"Nazi Conspiracy and Aggression, Volume 2",Various,56213
"Recollections of Rifleman Harris, old 95th",Benjamin Harris,56211
The Lincoln Country in Pictures,Carl Frazier and Rosalie Frazier,56210
"Gettysburg National Military Park, Pennsylvania",Frederick Tilberg,56209
Strive and Succeed,Horatio Alger,56207
My Book of Ten Fishes,Rosalie G. Mendel,56206
Voyager 1 Encounters Saturn,the National Aeronautics,56205
The Unspeakable Scot,Thomas William Hodgson Crosland,56204
List of Post Offices in Canada 1864,Postmaster General of Canada,56203
British Bees,William Edward Shuckard,56201
Queen Anna's New World of Words,John Florio,56200
The Abandoned Country,Luis Senarens,56198
Cupid's Fair-Weather Booke,Oliver Herford and John Cecil Clay,56197
The Boy Volunteers on the Belgian Front,Kenneth Ward,56195
The Cruel Murder of Mina Miller,Unknown,56191
Historical Manual of English Prosody,George Saintsbury,56187
Argentina and Uruguay,Gordon Ross,56186
The Abounding American,Thomas William Hodgson Crosland,56185
Brother Van,Stella W. Brummitt,56184
The Ohio Journal of Science,Various,56181
York and Lancaster,William Garmon Jones,56180
The Boy Volunteers with the British Artillery,Kenneth Ward,56179
Forward from Babylon,Louis Golding,56178
The Island of Fantasy,Fergus Hume,56177
Guild Court,George MacDonald,56176
