title,author,number
The Old English Physiologus,Albert S. Cook,14529
"Lippincott\'s Magazine, July 1885",Various,14524
Five Little Plays,Alfred Sutro,14519
"Punch, Vol. 102, April 23, 1892, Ed",Francis Burnand,14514
"Lippincott\'s Magazine, October 1885",Various,14509
Experiments and Considerations Touching Colours,Robert Boyle,14504
The Religions of India,Edward Washburn Hopkins,14499
Scottish Sketches,Amelia Edith Huddleston Barr,14494
Nightfall,Anthony Pryde [a.k.a.: Agnes Russell Weekes],14489
Sophocles: The Seven Plays in English Verse,Lewis Campbell,14484
"Services in the Liberation of Chili, Peru and Brazil",Thomas Cochrane,14479
The Chemical History Of A Candle,Michael Faraday,14474
The English Novel,George Saintsbury,14469
"Voyages and Travels, Vol. 13",Robert Kerr,14464
Proportional Representation Applied To Party Government,Ashworth,14459
The Doctor\'s Dilemma,Hesba Stretton,14454
Dutch Courage and Other Stories,Jack London,14449
The Complete English Tradesman (1839 ed.),Daniel Defoe,14444
Lalli; Tuomas piispa; Maunu Tavast,Eino Leino,14439
Kertomuksia,Emile Zola,14434
Heroes of the Great Conflict; William Farrar Smith,Wilson,14429
The Mutiny of the Bounty,Sir John Barrow,14424
Grammatical Sketch of the Heve Language,Buckingham Smith,14419
Lancashire Idylls (1898),Marshall Mather,14414
Esther,Henry Adams,14409
Les Rois,Jules Lemaitre,14404
Ce que disait la flamme,Hector Bernier,14399
The Street Called Straight,Basil King,14394
"Punch, Vol. 102, March 26, 1892, ed",Sir Francis Burnand,14389
White Shadows in the South Seas,Frederick O\'Brien,14384
Elsie at Nantucket,Martha Finley,14379
John Redmond\'s Last Years,Stephen Gwynn,14374
The Young Engineers on the Gulf,H. Irving Hancock,14369
"Punch, Vol. 102, March 12, 1892, ed",Sir Francis Burnand,14364
The Worst Journey in the World,Apsley Cherry-Garrard,14363
The Way of a Man,Emerson Hough,14362
"MacMillan & Co.\'s General Catalogue of Works, Dec 1869",Unknown,14359
Gwaith Samuel Roberts,Samuel Roberts,14354
Jaakko Jaakonpoika,Santeri Alkio,14349
"Punch, Vol. 102, February 27, 1892, Ed",Francis Burnand,14344
Music Talks with Children,Thomas Tapper,14339
The Range Dwellers,B. M. Bower,14334
Viajes de un Colombiano en Europa I,Jose Maria Samper,14329
"Lippincott\'s Magazine, April 1875, Vol. XV., No. 88",Various,14324
"McClure\'s Magazine, March, 1896, Vol. VI, No. 4",Various,14319
Etiquette,Emily Post,14314
Nouvelles et Contes pour la jeunesse,Pauline Guizot,14309
The Tale Of Peter Rabbit,Beatrix Potter,14304
Native Races and the War,Josephine Elizabeth Butler,14299
New Ideas in India During the Nineteenth Century,John Morrison,14294
The Life of Napoleon I (Volume 1 of 2),John Holland Rose,14289
Truxton King,George Barr McCutcheon,14284
The Ancient Life History of the Earth,Henry Alleyne Nicholson,14279
"Lincoln\'s Inaugurals, Addresses and Letters (Selections)",Lincoln,14274
Aan de Zuidpool,Roald Amundsen,14269
The Practice and Science Of Drawing,Harold Speed,14264
Le sorcier de Meudon,Eliphas Levi,14259
Enoni,Arthur Conan Doyle,14254
Half A Chance,Frederic S. Isham,14249
The Romance Of Tristan And Iseult,M. Joseph Bedier,14244
"Golden Steps to Respectability, Usefulness and Happiness",Austin,14239
The Lure of the North,Harold Bindloss,14234
"Punch, Vol. 101, November 21, 1891, Ed",Francis Burnand,14229
Bracebridge Hall,Washington Irving,14228
"Samoa, A Hundred Years Ago And Long Before",George Turner,14224
Poor Jack,Frederick Marryat,14222
Helmet of Navarre,Bertha Runkle,14219
Ylhaiset ja alhaiset,K. J. Gummerus,14214
The Kybalion,Three Initiates,14209
The Lion and The Mouse,Charles Klein,14204
"Punch, Vol. 102, January 2, 1892, ed",Sir Francis Burnand,14199
France in the Nineteenth Century,Elizabeth Latimer,14194
Ancient Town-Planning,F. Haverfield,14189
The Ladder to Learning,Miss Lovechild,14184
"Theory of the Earth, Volume 2 (of 4)",James Hutton,14179
The Mating of Lydia,Mrs. Humphry Ward,14174
"Ethel Hollister\'s Second Summer as a Campfire Girl, Irene Elliott Benson 14169\r\nWiddershins",Oliver Onions [a.k.a.: George Oliver],14168
Kaksi,Theodolinda Hahnsson,14164
Les Roquevillard,Henry Bordeaux,14159
The Tale of Terror,Edith Birkhead,14154
The Pilots of Pomona,Robert Leighton,14149
Carl Wilhelm Scheele,Per Teodor Cleve,14144
New Tabernacle Sermons,Thomas De Witt Talmage,14139
"Akbar, Emperor of India",Richard von Garbe,14134
"The Works of Charles Lamb in Four Volumes, Vol. 4",Charles Lamb,14129
"The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 584   14124\r\n  [Supplement to Vol. 20]\r\nPunch, Vol. 101, November 28, 1891, Ed",Francis Burnand,14123
The White Riband,Fryniwyd Tennyson Jesse,14119
"Plutarch\'s Lives, Volume II, Tr","('Aubrey Stewart', 'George Long')",14114
Edward MacDowell,Lawrence Gilman,14109
Our Changing Constitution,Charles Pierson,14104
True Irish Ghost Stories,St John D Seymour,14099
The Suppressed Poems of Alfred Lord Tennyson,Alfred Lord Tennyson,14094
Homestead on the Hillside,Mary Jane Holmes,14089
A Vindication of the Press,Daniel Defoe,14084
Sandy,Alice Hegan Rice,14079
"Punch, Vol. 101, November 14th, 1891, ed",Sir Francis Burnand,14074
Contes pour les petits garcons,Johann Christopher Schmid,14069
"Mohammed, The Prophet of Islam",H. E. E. Hayes,14064
Mr. Britling Sees It Through,H. G. Wells,14060
Max,Katherine Cecil Thurston,14054
The Pointing Man,Marjorie Douie,14049
The Angels of Mons,Arthur Machen,14044
Through Stained Glass,George Agnew Chamberlain,14039
King Alfred\'s Viking,Charles W. Whistler,14034
Chateau and Country Life in France,Mary King Waddington,14029
"The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 566   14024\r\n  [September 15, 1832]\r\nLife & Times of Col. Daniel Boone",Cecil B. Harley,14023
"The Harvard Classics, Vol. 49, Epic and Saga, Ed",Charles W. Eliot,14019
Dangers on the Ice Off the Coast of Labrador,Anonymous,14014
"Scientific American Supplement, No. 787, January 31, 1891",Various,14009
The Every-day Life of Abraham Lincoln,Francis Fisher Browne,14004
Auvergne,G. Bosch,13999
"Punch, Vol. 101, October 10, 1891, ed",Sir Francis Burnand,13994
Duty of Disobedience to the Fugitive Slave Act,Lydia Maria Child,13989
In the Wrong Paradise,Andrew Lang,13984
For The Admiral,W.J. Marx,13979
The Last West and Paolo\'s Virginia,G. B. Warren,13974
The Hill of Dreams,Arthur Machen,13969
"Lippincott\'s Magazine, Vol. XII. No. 31. October, 1873",Various,13964
Door Oost-Perzie,Percy Molesworth Sykes,13959
"Punch, Vol. 152, June 27, 1917, ed",Sir Owen Seaman,13954
"Le vicomte de Bragelonne, Tome III",Alexandre Dumas,13949
After London,Richard Jefferies,13944
"Scientific American Supplement, No. 484, April 11, 1885",Various,13939
Discours prodigieux et espouventable...,Anonymous,13938
"The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 491   13935\r\n  [May 28, 1831]\r\nInferences from Haunted Houses and Haunted Men",John Harris,13934
Ilka on the Hill-Top and Other Stories,Hjalmar Hjorth Boyesen,13929
"The Atlantic Monthly, Vol. 9, No. 51, January, 1862",Various,13924
Muistelmia ja matkakuvia,Juhani Aho,13919
Lettre a Louis XIV,Fenelon et Guillemin,13914
Little Journeys to the Homes of American Statesmen,Elbert Hubbard,13911
The Indiscretion of the Duchess,Anthony Hope,13909
Un antiguo rencor,George (Jorge) Ohnet,13904
"The Mirror of Literature, Amusement, and Instruction, Vol 10, No. 291    13899\r\n  [Supplementary Issue 1827]\r\nDon Strong, Patrol Leader",William Heyliger,13898
The Great Adventure,Arnold Bennett [a.k.a.: Enoch Arnold Bennett],13894
Dave Ranney,Dave Ranney,13889
"The History of Sir Charles Grandison, Volume 4 (of 7), Samuel Richardson 13884\r\nThe Tree of Heaven",May Sinclair,13883
The Death of Balder,Johannes Ewald,13879
Rauhan erakko,Juhani Aho,13874
In Roemenie,Th. Hebbelynck,13869
"The Bay State Monthly, Volume 2, Issue 3, December, 1884",Various,13864
Boy Scouts in Southern Waters,G. Harvey Ralphson,13859
The Old Franciscan Missions Of California,George Wharton James,13854
Panu: Naytelma,Juhani Aho,13849
No. 13 Washington Square,Leroy Scott,13844
"Correspondance, Vol. 5, 1812-1876",George Sand,13839
A se tordre,Alphonse Allais,13834
"The Mirror of Literature, Amusement, and Instruction, Vol 17, No. 475    13829\r\n  [February 5, 1831]\r\nLippincott\'s Magazine, Vol. XII, No. 29. August, 1873",Various,13828
"The National Preacher, Vol. 2 No. 7 Dec. 1827","('Leland', 'Baldwin')",13824
Tales of Wonder,Baron Edward John Moreton Drax Plunkett Dunsany,13821
Unhappy Far-Off Things,Lord Dunsany,13820
Les compagnons de Jehu,Alexandre Dumas,13819
The Development of the Feeling for Nature...,Alfred Biese,13814
"Mountain idylls, and Other Poems",Alfred Castner King,13809
Voyage du Prince Fan-Federin dans la romancie,Bougeant,13804
Old Fires and Profitable Ghosts,A. T. Quiller-Couch,13799
Tarass Boulba,Nikolai Vassilievitch Gogol,13794
Great Britain and the American Civil War,Ephraim Douglass Adams,13789
Mr. Dooley: In the Hearts of His Countrymen,Finley Peter Dunne,13784
Minka mitakin Tyrolista,Juhani Aho,13779
Rosa Mundi and Other Stories,Ethel M. Dell,13774
Lohilastuja ja kalakaskuja,Juhani Aho,13769
The Art of Letters,Robert Lynd,13764
Secret Societies,"David MacDill, Jonathan Blanchard, & Edward Beecher",13759
Evesham,Edmund H. New,13754
Around the World on a Bicycle Volume II.,Thomas Stevens,13749
Isidora,George Sand,13744
Shandygaff,Christopher Morley,13739
"Jim Harrison, boxeur",Arthur Conan Doyle,13734
"Notes & Queries, No. 37. Saturday, July 13, 1850",Various,13729
The Frontiersmen,Charles Egbert Craddock,13724
"Blackwood\'s Edinburgh Magazine, No. 345, July 1844, Vol. 56              13719\r\nManual of Ship Subsidies",Edwin M. Bacon,13718
Materials Toward A Bibliography Of The Works Of Talbot Mundy,Day,13714
Wolfville Nights,Alfred Lewis,13709
L\'homme a l\'oreille cassee,Edmond About,13704
In Zuid-Bretagne,Gustave Geffroy,13699
Mince Pie,Christopher Darlington Morley,13694
The Theory of Numbers,Robert D. Carmichael,13693
Hyperbolic Functions,James McMahon,13692
Sea-Wolves of the Mediterranean,E. Hamilton Currey,13689
"Notes and Queries, No. 28. Saturday, May 11, 1850",Various,13684
Andrew the Glad,Maria Thompson Daviess,13679
Chronicle and Romance (The Harvard Classics Series),Various,13674
The New Dr. Price Cookbook,Anonymous,13669
Selections from the Writings of Lord Dunsay,Lord Dunsany,13664
"The Correspondence of Carlyle and Emerson, Vol II, Carlyle and Emerson   13660\r\n  [Title: The Correspondence of Thomas Carlyle and Ralph Waldo Emerson,\r\n   1834-1872, Vol II]\r\n  [Author: Thomas Carlyle and Ralph Waldo Emerson]\r\n  [Edited and Arrange",Charles E. Norton],NaN
"Der Todesgruss der Legionen, Dritter Band",Meding,13659
Ida et Carmelita,Hector Malot,13654
Laughable Lyrics,Edward Lear,13649
"The Mirror of Literature, Amusement, and Instruction, Vol. 13, No. 360   13644\r\n  [March 14, 1829]\r\nInternational Weekly Miscellany, Vol. I, No. 6",Various,13643
"Punch, Vol. 1, July 17, 1841, Ed",Mark Lemon,13639
"The Continental Monthly, Vol. I, Feb, 1862, Number II",Various,13634
"Correspondance, Vol. 1, 1812-1876",George Sand,13629
"Chronicles (1 of 6): The Historie of England (2 of 8), Raphael Holinshed 13624\r\nWorld\'s Best Literature, Ancient And Modern, Vol 6",Various,13623
Little Journeys To The Homes Of English Authors,Elbert Hubbard,13619
"Studies in the Psychology of Sex, Volume 5 (of 6)",Havelock Ellis,13614
Vector Analysis and Quaternions,Alexander Macfarlane,13609
Thrilling Stories Of The Ocean,Marmaduke Park,13604
Ambrosius,Chris K.F. Molbech,13599
"Portraits litteraires, Tome I",C.-A. Sainte-Beuve,13594
The Theory of the Theatre,Clayton Hamilton,13589
"The American Missionary, Vol. 42, No. 11, November, 1888",Various,13584
Slave Narratives: Indiana,Work Projects Administration,13579
Keeping Fit All the Way,Walter Camp,13574
Tractus de Hermaphrodites (1718),Giles Jacob,13569
Ensimmaiset novellit,Juhani Aho,13564
"Punch, Vol. 101, July 4, 1891, ed",Sir Francis Burnand,13563
The Backwoods of Canada,Catharine Parr Traill,13559
Aftermath,James Lane Allen,13554
The Art of War,Baron Henri de Jomini,13549
"Notes & Queries, No. 18. Saturday, March 2, 1850",Various,13544
"Dr. Scudder\'s Tales for Little Readers, About the Heathen",Scudder,13539
Past and Present,Thomas Carlyle,13534
"The Influence of Sea Power Upon History, 1660-1783, Alfred Thayer Mahan  13529\r\nScorched Earth",Walter D. Petrovic 13528C,NaN
"Les Pardaillan, Tome 05, Pardaillan et Fausta",Michel Zevaco,13524
La Tierra de Todos,Vicente Blasco Ibanez,13519
Tales of a Traveller,Washington Irving,13514
Grappling with the Monster,T. S. Arthur [a.k.a.: Timothy Shay Arthur],13509
Haydn,John F. Runciman,13504
Two Little Savages,Ernest Thompson Seton,13499
Fables For The Times,H. W. Phillips,13494
"Brochure Series of Architectural Illustration, Vol. 1, No. 1, Jan 1895   13489\r\n  [Subtitle: The Gothic Palaces of Venice]\r\nAn Essay on Mediaeval Economic Teaching",George O\'Brien,13488
Essay upon Wit,Sir Richard Blackmore,13484
Descripcion Geografica de Bolivia,Alcides de Orbigny,13479
Women and the Alphabet,Thomas Wentworth Higginson,13474
Bertha,Mary Hazelton Wade,13470
A History of Pantomime,R. J. Broadbent,13469
Essays on Taste,John Gilbert Cooper,13464
The Waters of Edera,Louise de la Ramee [a.k.a. Ouida],13459
Aylwin,Theodore Watts-Dunton,13454
The Plain Man and His Wife,Arnold Bennett,13449
Searchlights on Health,"('B. G. Jefferis', 'J. L. Nichols')",13444
Divine Songs,Isaac Watts,13439
Regeneration,H. Rider Haggard,13434
Nimettomia lauluja,Aaro Hellaakoski,13429
Honoring Parents,Anonymous,13424
The Bishop and Other Stories,Anton Chekhov,13419
The Darling and Other Stories,Anton Chekhov,13416
The Lady with the Dog and Other Stories,Anton Chekhov,13415
"Love, and Other Stories",Anton Chekhov,13414
The Horse-Stealers and Other Stories,Anton Chekhov,13409
Tom Tufton\'s Travels,Evelyn Everett-Green,13404
"Scientific American Supplement, No. 530, February 27, 1886",Various,13399
Elaman meri,Arvid Jarnefelt,13394
A Woman\'s Impression of the Philippines,Mary Helen Fee,13392
"Punch, Vol. 100, June 6, 1891, ed",Sir Francis Burnand,13391
"Notes & Queries, No. 40, August 3, 1850",Various,13389
The Covered Wagon,Emerson Hough,13384
The Two Elsies,Martha Finley,13379
Our Legal Heritage,S. A. Reilly 13376C,NaN
The Rival Heirs,A. D. Crake,13375
"Consuelo, Vol. 3 (1861)",George Sand,13374
The Lost Ambassador,E. Phillips Oppenheim,13369
Matthew Arnold\'s Sohrab and Rustum and Other Poems,Matthew Arnold,13364
"The Mirror Of Literature, Amusement, And Instruction, Vol. 14, No. 391   13359\r\n  [September 26, 1829]\r\nScientific American Supplement, No. 803, May 23, 1891",Various,13358
The Boy Knight,G.A. Henty,13354
"The Freethinker\'s Text Book, Part II",Annie Besant,13349
Vanguards of the Plains,Margaret McCarter,13345
"Les Pardaillan 02, L\'epopee d\'amour",Michel Zevaco,13339
"The Collected Works of Ambrose Bierce, Vol. II",Ambrose Bierce,13334
Pelleas and Melisande,Maurice Maeterlinck,13329
"Apples, Ripe and Rosy, Sir",Mary Catherine Crowley,13324
The Return of Peter Grimm,David Belasco,13319
Barford Abbey,Susannah Minific Gunning,13314
A First Book in Algebra,Wallace C. Boyden,13309
"McClure\'s Magazine, Vol. VI., No. 6, May, 1896",Various,13304
Mythes Chaldeens,Leon Heuzey,13299
"Food for the Lambs; or, Helps for Young Christians",Charles Ebert Orr,13294
The Certainty of a Future Life in Mars,L. P. Gratacap,13289
Influence morale des sports athletiques,Henri Didon,13284
A Yankee in the Trenches,R. Der,NaN
"A Little Catechism, 1692",John Mason,13274
"Punch, Vol. 100, March 21, 1891, ed",Sir Francis Burnand,13269
Zalacain El Aventurero,Pio Baroja,13264
Ylosnousemus III,Leo Tolstoi,13259
The Dollar Hen,Milo M. Hastings,13254
Our Vanishing Wild Life,William T. Hornaday,13249
"Punch Among the Planets, Christmas Number 1890, Ed",Francis Burnand,13244
Grain and Chaff from an English Manor,Arthur H. Savory,13239
Ester Ried,Pansy (a.k.a.. Isabella M. Alden),13234
The Revelation Explained,F. Smith,13229
Poem,"Jean Ingelow, In Two Volumes, Volume II,",NaN
"Les Ordres De Chevalerie, Les Ordres Serbes",Brasier & Brunet,13219
Anna Karenina,Lev Nikolaevica Tolstoi,13214
The Second Violin,Grace S. Richmond,13209
Sermons to the Natural Man,William G.T. Shedd,13204
"The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 469   13199\r\n  [January 1, 1831]\r\nNouvelles lettres d\'un voyageur",George Sand,13198
The Rules of the Game,Stewart Edward White,13194
De l\'importance des livres de raison,Louis Guibert,13190
Le gorille,Oscar Metenier,13189
Narrative and Lyric Poems,O. J. Stevenson,13184
The Poems of William Watson,William Watson,13179
Sylvi; Kovan onnen lapsia,Minna Canth,13174
"The Prose Works of Jonathan Swift, D. D., Volume IX",Jonathan Swift,13169
Murtovarkaus; Roinilan talossa,Minna Canth,13164
Lost Illusions,Honore De Balzac [Tr.: Ellen Marriage],13159
"Lippincott\'s Magazine, February, 1876, Vol. XVII, No. 98",Various,13154
The Christian Life,Thomas Arnold,13151
Helika,Charles DeGuise,13149
Medieval People,Eileen Edna Power,13144
"The Lives of John Donne, &C;, Vol. II",Izaak Walton,13139
Mehilaeisten elaema,Maurice Maeterlinck,13134
Helkavirsia I-II,Eino Leino,13129
The King\'s Daughter and Other Stories for Girls,Various,13126
History of Kershaw\'s Brigade,D. Augustus Dickert,13124
Jean Francois Millet,Estelle M. Hurll,13119
The Collectors,"Frank Jewett Mather, Jr.",13114
The Brain and the Voice in Speech and Song,F. W. Mott,13111
About Ireland,E. Lynn Linton,13109
The Abominations of Modern Society,Rev. T. De Witt Talmage,13104
