"Paul Faber, Surgeon",George MacDonald,12387,http://www.gutenberg.org/files/12387/12387.txt
Brown Wolf and Other Jack London Stories,Jack London,12336,http://www.gutenberg.org/files/12336/12336.txt
The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,12103,http://www.gutenberg.org/files/12103/12103.txt
Individualisme en socialisme,Oscar Wilde,11739,http://www.gutenberg.org/files/11739/11739.txt
The Refugees,Arthur Conan Doyle,11413,http://www.gutenberg.org/files/11413/11413.txt
The Moorland Cottage,Elizabeth Cleghorn Gaskell,11371,http://www.gutenberg.org/files/11371/11371.txt
The Exploits Of Brigadier Gerard,Arthur Conan Doyle,11247,http://www.gutenberg.org/files/11247/11247.txt
The Cruise of the Dazzler,Jack London,11051,http://www.gutenberg.org/files/11051/11051.txt
Impressions of Theophrastus Such,George Eliot,10762,http://www.gutenberg.org/files/10762/10762.txt
Essays of Robert Louis Stevenson,Robert Louis Stevenson,10761,http://www.gutenberg.org/files/10761/10761.txt
Children of the Frost,Jack London,10736,http://www.gutenberg.org/files/10736/10736.txt
"The Tragedie of Hamlet, Prince of Denmark",George MacDonald,10606,http://www.gutenberg.org/files/10606/10606.txt
Uncle Bernac,Arthur Conan Doyle,10581,http://www.gutenberg.org/files/10581/10581.txt
A Hidden Life and Other Poems,George MacDonald,10578,http://www.gutenberg.org/files/10578/10578.txt
Little Saint Elizabeth and Other Stories,Frances Hodgson Burnett,10466,http://www.gutenberg.org/files/10466/10466.txt
The Green Flag,Arthur Conan Doyle,10446,http://www.gutenberg.org/files/10446/10446.txt
England's Antiphon,George MacDonald,10375,http://www.gutenberg.org/files/10375/10375.txt
The History of Gutta-Percha Willie,George MacDonald,10093,http://www.gutenberg.org/files/10093/10093.txt
A Visit to Three Fronts,Arthur Conan Doyle,9874,http://www.gutenberg.org/files/9874/9874.txt
The Vicar's Daughter,George MacDonald,9471,http://www.gutenberg.org/files/9471/9471.txt
A Dish Of Orts,George MacDonald,9393,http://www.gutenberg.org/files/9393/9393.txt
Ranald Bannerman's Boyhood,George MacDonald,9301,http://www.gutenberg.org/files/9301/9301.txt
Stephen Archer and Other Tales,George MacDonald,9191,http://www.gutenberg.org/files/9191/9191.txt
Wilfrid Cumbermede,George MacDonald,9183,http://www.gutenberg.org/files/9183/9183.txt
Heather and Snow,George MacDonald,9155,http://www.gutenberg.org/files/9155/9155.txt
Salted With Fire,George MacDonald,9154,http://www.gutenberg.org/files/9154/9154.txt
Miracles of Our Lord,George MacDonald,9103,http://www.gutenberg.org/files/9103/9103.txt
Weighed and Wanting,George MacDonald,9096,http://www.gutenberg.org/files/9096/9096.txt
Unspoken Sermons,George MacDonald,9057,http://www.gutenberg.org/files/9057/9057.txt
